,company,description,est_salary,exp_lvl,link,location,post_time,real_salary_lower,real_salary_upper,title
3771,Rexam,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=7f351da8a64aae14&fccid=0ddba66889feb89d,"Boulder, CO",1 day ago,,,Engineer II - Optical (659440)
3772,Rexam,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d51b54246d7502c9&fccid=0ddba66889feb89d,"Albuquerque, NM",1 day ago,,,Laser Research Engineer II (659646)
3773,Rexam,"Experience with McAfee ePolicy Orchestrator, Arcsight, OpenView, EMC Storage, Data Domain, Solaris/Unix LDAP Auth a plus....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=675aea5ce702b928&fccid=0ddba66889feb89d,"Rome, GA",1 day ago,,,Systems Administrator II (658737)
3774,Rexam,"Historical data collection, analysis, correlation to technical and programmatic data, validation, application and maintenance;...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=f13aa9eaca755934&fccid=0ddba66889feb89d,"Boulder, CO",1 day ago,,,Cost Estimating and Pricing Lead (659327)
3775,Rexam,"Define, execute, and report on trade studies that provide data for decision making to our customers. Our team of more than 3,000 engineers, scientists,...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=79df3124741b97df&fccid=0ddba66889feb89d,"Broomfield, CO",1 day ago,,,Staff Consultant - Mission Systems Architect (659250)
3776,Rexam,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=837dcac5331f4019&fccid=0ddba66889feb89d,"Annapolis Junction, MD",1 day ago,,,Digital Network Intelligence Analyst (659288)
3777,Commonwealth Sciences,"Excellent organizational and time management skills, the ability to generate high quality data under tight deadlines....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d351ac7487b02887&fccid=1939a984aaacd7e4,"Boston, MA",1 day ago,,,Sr. Research Associate (Flow Cytometry)
3778,University of California San Francisco,"The Director ensures the accuracy, control and reporting of financial data. The Director participates in the development and monitoring of policies and...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=bb47b279975af3ec&fccid=2a341562d64c7cdb,"San Francisco, CA",1 day ago,,,Director of Finance / Finance Manager
3779,Rexam,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=1dbb663a85e2fced&fccid=0ddba66889feb89d,"Boulder, CO",1 day ago,,,Engineer Principal - Optical (659502)
3780,Rexam,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=f8e1c24f74b92961&fccid=0ddba66889feb89d,"Lafayette, LA",1 day ago,,,Manager-Financial Accounting (659627)
3781,"Sahana, LLC","Experience working with scientific data a plus. Bachelors degree and 3+ years relevant professional experience in variety of bioinformatics, computational...",90000.0,mid_level,"http://www.indeed.com/cmp/Sahana,-LLC./jobs/Bioinformatic-Scientist-4c22b2d7e67fe49c?r=1&fccid=dbf1b74913416fd1","Bethesda, MD 20814",2 days ago,,,Bioinformatics Scientist (1099 only)
3782,4 Point Consulting,"Machine Learning Scientist Seattle, WA. At Context Relevant, Machine Learning Scientists develop our core data science platform, building a product that...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a93dc0f1cd3e9ba1&fccid=ce3ed13ff5652849,"Seattle, WA",2 days ago,,,Machine Learning Scientist
3783,ProEnlist,"Create analysis and data reconciliation through SAS, R and other tools, to include healthcare provider data, claims data, membership data....",90000.0,mid_level,http://www.indeed.com/cmp/ProEnlist/jobs/Data-Scientist-8f2a50d5e2703de3?r=1&fccid=9d12fc9a538c3ab3,"St. Louis, MO",2 days ago,,,Data Scientist I
3784,BNY Mellon,"Rigorously formulate and test fundamental hypotheses against empirical data; For over 230 years, the people of BNY Mellon have been at the forefront of finance,...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=3d827d92ed8eb773&fccid=b4048be2884af072,"San Francisco, CA",2 days ago,,,Research Analyst - Mellon Capital Management - San Francisco
3785,"Physio-Control, Inc.","Work with them—whether it’s flexible energy dosing, integrated data management solutions that help them capture patient data, mechanical CPR or service—we make...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=949625149143367f&fccid=239d7a6be000925c,"Redmond, WA",2 days ago,,,Software Quality Assurance Analyst
3786,Nesher Pharmaceuticals (USA) LLC,Ability to make literature searches and review raw material technical packets and correlate data to existing internal projects. This position is located in St....,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=85b3fd505a21556e&fccid=1c4eff77aaaaa9cb,"San Juan, PR",2 days ago,,,ANALYTICAL RESEARCH & DEVELOPMENT SCIENTIST - PR
3787,LifeNet Health,Senior Scientist - Microbiologist. We are currently seeking a Full-Time Senior Scientist - Microbiologist to join the LifeNet Health team in our Virginia Beach...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=9e5f716c00bf2fbf&fccid=bf3df982bae8cd76,"Virginia Beach, VA 23453",2 days ago,,,Senior Scientist - Microbiologist
3788,CleverSource,"Conducts assessment survey data pulls as required. Provides historical data analysis of command’ s operations, activities, actions (OAA)....",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=d9db0abc0484d42a&fccid=8bf714b610f63fee,"‘Aiea, HI",2 days ago,,,Operations Research Analyst -ORSA
3789,Genentech,The incumbent will support a group of biomarker scientists to execute on predictive and/or pharmacodynamic biomarker strategies for programs in clinical...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=04c95159e4e54304&fccid=2525cc4a9a704809,"South San Francisco, CA",2 days ago,,,"Scientific Manager, Cancer Immunotherapy Biomarkers"
3790,Fidelity Partners,"Builds industry relations with the intention of collaborations,between IRBs, scientists and inventors....",90000.0,mid_level,http://www.indeed.com/cmp/Fidelity-Partners/jobs/Technology-Transfer-Specialist-efb27b46dd3e9e15?r=1&fccid=f25c1aef70a15814,"San Antonio, TX 78240",2 days ago,,,Technology Transfer Specialist
3791,NYU Langone Medical Center,Must be able to explain and convey data to all end users. Analytical Skills – Must possess the skills to interpret and analyze data both financially and...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=35c92b1f3130e835&fccid=a259fc86b1470609,"New York, NY",2 days ago,,,Sourcing Leader
3792,CMHC,"University Degree in business administration, economics, finance, statistics, data scientist combined with 5 years of business analytics, data mining OR an...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=68208c8203322b41&fccid=0c7e2e3f581c5a29,"Sector, WV",2 days ago,,,"Senior Analyst, Innovation, Change Management (ICM) and People Analytics"
3793,NYU Langone Medical Center,"And Hassenfeld Children’s Hospital, a comprehensive pediatric hospital supporting a full array of children’s health services across the medical center – plus...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=040675a96f2ee784&fccid=a259fc86b1470609,"New York, NY",2 days ago,,,Assistant Director - Finance
3794,Reed Elsevier,"Health libraries and interactive data collection to the provider and payer. A global company based in Amsterdam, Elsevier partners with scientists, researchers,...",90000.0,mid_level,http://www.indeed.com/rc/clk?jk=9cbfe4b26ef48038&fccid=f7a0f0e88ce3d78e,United States,2 days ago,,,"Regional Account Manager, Patient Engagement - Western US"
3795,BOEING,Skilled scientists and thinkers. Proven ability to gather dispersant data from multiple sources and perform data analytics to produce tangible and supportable...,90000.0,mid_level,http://www.indeed.com/rc/clk?jk=a2aa06e2a3cabf28&fccid=edae4285faf6c2f0,"North Charleston, SC 29418",2 days ago,,,Enterprise Automation Tools - System Design and Integration Specialist
3796,"Celldex Therapeutics, Inc.","Familiar with statistical concepts including survival analysis, categorical data analysis, longitudinal data analysis, generalized linear model, mixed model,...",90000.0,mid_level,"http://www.indeed.com/cmp/Celldex-Therapeutics,-Inc./jobs/Associate-Director-ac97e243e4107176?r=1&fccid=06d9b2e3b5be0765","Hampton, NJ 08827",2 days ago,,,"Associate Director, Statistician"
3797,Analytic Search Group,"SAP, write/review analysis data specifications, etc. Interact with Statisticians, Clinical Data Programmers, Data Managers, Clinical Operations personnel and...",90000.0,mid_level,"http://www.indeed.com/cmp/Analytic-Search-Group,-LLC/jobs/Senior-Manager-42a4f7bb9b65077c?r=1&fccid=f1c34af09dae50bc","Fort Lee, NJ",2 days ago,,,Senior Manager (Hands On) - Statistical/Clinical Programming
3798,LaBine and Associates,"We are hiring a data scientist specialist for our client in Pasadena, CA. Perform data analytics, statistical/mathematical modeling and prototype designs....",90000.0,entry_level,http://www.indeed.com/company/LaBine-and-Associates/jobs/Data-Scientist-a9ed0d7467c5d2c9?r=1&fccid=a19fdf51196f3de2,"Pasadena, CA",Just posted,,,Data Scientist
3799,The Aerospace Corporation,Perform research in the areas of data analytics and machine learning. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists...,90000.0,entry_level,http://www.indeed.com/rc/clk?jk=1b6c3d37ddd60bc7&fccid=ba923b146fa75d0d,"El Segundo, CA 90245",Just posted,,,Entry Level - Software Research Engineer - Temporary
3800,Oak Ridge Associated Universities,S/he may collaborate with scientists across those disciplines to participate in original interdisciplinary scientific research....,90000.0,entry_level,http://www.indeed.com/rc/clk?jk=30d73e861bbf7f9d&fccid=9ee66ada40315e6d,"Arlington, VA",Just posted,,,Emergent Statistical Approaches in Quantitative Health Risk Assessment
3801,Ball Aerospace,"Our team of more than 3,000 engineers, scientists, technicians and support staff drives all the achievements at Ball Aerospace....",90000.0,entry_level,http://www.indeed.com/rc/clk?jk=da59e28085dc14d7&fccid=82c5e27e77990fa2,"Dayton, OH",Just posted,,,Associate Engineer - Software (659730)
3802,"INQU,LLC","Fluent in Java Script, HTML, XML (Meta Data) and Adobe Captivate with Shareable Content Object Reference Model (SCORM) 1.2 experience....",90000.0,entry_level,"http://www.indeed.com/company/INQU,LLC/jobs/Computer-Scientist-34671687b1926abf?r=1&fccid=d1fa56247ac90a05","Edwards AFB, CA",Just posted,,,Computer Scientist
